FishID,CaptureDate,Location,Lengthmm,AHR,CYP1A,Gata3,HSP27,HSP70,HSP90,IFNa,Leptin,MT.A,MX1,SOD,tbx21,HSP70Protein,Treatment
CHINPS005,6/13/2018,Pilot Station,806,7.57,34.00,8.48,0.93,2.82,-1.10,3.32,7.61,-4.75,11.29,4.01,7.18,0.04,18C
CHINPS008,6/14/2018,Pilot Station,774,6.30,7.80,34.00,-0.97,2.50,-3.44,2.79,5.47,-6.13,9.76,3.76,34.00,0.12,18C
CHINPS011,6/15/2018,Pilot Station,740,7.42,9.28,10.07,1.12,2.84,-1.95,5.42,7.41,-2.82,9.46,2.57,9.17,0.28,18C
CHINPS015,6/16/2018,Pilot Station,850,6.92,7.53,9.84,2.88,1.97,-1.67,6.10,8.73,-0.28,9.29,3.06,8.36,0.04,18C
CHINPS020,6/18/2018,Pilot Station,790,6.28,8.01,8.53,1.20,2.52,-2.38,4.62,9.63,-3.34,8.93,2.31,7.09,0.04,18C
CHINPS023,6/19/2018,Pilot Station,690,7.53,8.30,9.86,1.13,3.67,-0.98,4.25,9.33,-1.90,10.91,3.98,8.71,0.12,18C
CHINPS026,6/20/2018,Pilot Station,799,7.50,9.87,9.01,1.68,2.27,-2.19,6.17,10.24,-2.50,10.52,3.05,8.98,0.09,18C
CHINPS029,6/21/2018,Pilot Station,590,7.07,9.50,10.83,1.40,3.60,-0.94,5.00,5.54,-2.93,10.59,2.76,9.07,0.05,18C
CHINPS007,6/14/2018,Pilot Station,619,7.04,8.41,6.96,0.18,3.09,-3.98,3.64,10.38,-4.25,34.00,3.86,7.16,1.97,21C
CHINPS010,6/15/2018,Pilot Station,833,7.54,8.11,8.68,0.64,1.71,-1.84,6.98,8.88,-0.82,9.66,3.43,9.25,0.19,21C
CHINPS019,6/18/2018,Pilot Station,713,7.30,8.58,10.44,2.40,2.33,-2.55,7.36,8.28,-1.20,10.37,3.28,10.85,0.40,21C
CHINPS025,6/20/2018,Pilot Station,858,8.17,9.99,9.18,1.97,3.33,-1.39,6.39,8.65,-0.77,9.84,4.54,9.80,0.08,21C
CHINPS028,6/21/2018,Pilot Station,650,7.30,9.51,8.87,3.03,2.80,-2.09,5.94,8.40,-1.27,9.26,2.58,8.87,0.65,21C
CHINPS006,6/13/2018,Pilot Station,784,8.31,10.66,34.00,2.11,3.66,-2.25,5.00,9.18,-2.52,11.54,5.04,8.61,0.07,CONTROL
CHINPS009,6/14/2018,Pilot Station,708,7.79,8.25,12.97,3.49,1.80,2.09,7.78,10.59,-0.36,10.50,2.97,8.82,0.07,CONTROL
CHINPS012,6/15/2018,Pilot Station,795,7.11,7.52,10.76,1.66,3.27,-0.48,6.26,8.43,-1.98,9.46,2.65,8.44,0.10,CONTROL
CHINPS014,6/16/2018,Pilot Station,712,7.49,7.70,10.34,1.81,2.47,-0.95,6.68,8.74,-1.73,10.54,2.72,9.70,0.09,CONTROL
CHINPS017,6/17/2018,Pilot Station,652,6.30,6.85,9.98,1.69,2.27,-0.80,6.18,9.43,-2.64,8.93,3.08,9.05,0.08,CONTROL
CHINPS021,6/18/2018,Pilot Station,830,5.93,7.16,9.46,1.75,2.09,-1.19,5.57,8.63,-3.58,8.48,2.00,7.86,0.11,CONTROL
CHINPS024,6/19/2018,Pilot Station,840,7.70,7.36,9.83,0.26,3.25,-1.22,4.65,8.80,-2.16,9.96,3.47,8.10,0.06,CONTROL
CHINPS027,6/20/2018,Pilot Station,789,7.44,9.00,10.69,3.30,3.45,-1.26,6.90,9.45,-0.46,9.67,2.77,9.08,0.08,CONTROL
CHINPS030,6/21/2018,Pilot Station,610,8.40,9.47,10.99,3.02,3.29,-0.92,7.42,5.61,-0.31,10.27,3.29,9.05,0.10,CONTROL
CHINCR001,7/14/2016,Chena River,615,6.57,5.10,8.35,4.33,1.30,1.48,10.71,14.24,-1.11,9.43,2.15,10.56,0.01,NA
CHINCR002,7/14/2016,Chena River,725,7.13,6.27,8.87,4.26,0.77,-0.40,10.28,14.20,-1.04,8.72,2.64,10.61,0.10,NA
CHINCR003,7/14/2016,Chena River,630,7.78,6.69,10.00,5.23,1.36,1.04,10.17,14.33,-1.49,9.37,2.48,12.11,0.03,NA
CHINCR004,7/14/2016,Chena River,815,7.21,5.84,8.84,3.15,0.84,-1.01,10.41,14.40,-0.69,7.90,2.73,11.43,0.64,NA
CHINCR005,7/14/2016,Chena River,650,7.09,6.61,9.47,4.53,1.41,1.48,9.68,14.85,-2.18,9.00,2.57,10.79,0.04,NA
CHINCR006,7/14/2016,Chena River,690,6.49,4.95,7.32,-1.02,0.90,-1.11,9.45,11.85,-1.03,7.82,2.89,10.37,0.15,NA
CHINCR007,7/14/2016,Chena River,580,6.35,5.41,8.89,5.50,0.46,2.22,10.81,14.81,-1.27,10.83,2.79,9.87,0.00,NA
CHINCR008,7/14/2016,Chena River,570,6.31,5.20,9.60,5.73,0.74,0.55,10.86,13.26,-0.65,9.08,2.20,10.56,0.01,NA
CHINCR009,7/14/2016,Chena River,715,6.27,4.99,7.62,4.27,-0.18,-0.18,11.53,13.97,0.12,8.33,1.69,11.02,0.13,NA
CHINCR010,7/14/2016,Chena River,710,6.58,4.39,9.21,5.19,0.95,-0.82,10.19,12.41,-0.97,9.61,2.78,10.49,0.14,NA
CHINCR011,7/14/2016,Chena River,795,7.17,4.72,9.40,5.03,1.24,0.33,10.61,13.89,-0.08,7.84,2.71,10.42,0.03,NA
CHINCR012,7/14/2016,Chena River,620,6.87,5.29,9.19,3.13,1.64,1.13,10.89,11.45,0.02,9.37,3.06,11.01,0.02,NA
